irrelevant label,English (US)
observationAssessment.1,Observation Assessment
observationAssessment.1-plural,Observation Assessments
AUTHORING_DIAGNOSTICS_ATTEMPT_HELP,"NOTE: To ensure proper personalization of a learner's learning path, diagnostics can only be authored with one attempt. Instructors can still reopen the diagnostic for a learner to retake it from the instructor interface."
Authoring,Authoring
diagnostic.1,Diagnostic
diagnostic.1-plural,Diagnostics
Bin,Category
Add Bin,Add ``Bin``
BinDropInstructions,"Create Categories and add corresponding Items in each Category. Use the Distractors Category for unmatched Items. Learners see the full set of Items, randomized, and are prompted to classify them correctly."
BIN_DESCRIPTION_PLACEHOLDER,Enter ``Bin`` description
BindropItemLengthAlert,Distractor text cannot be greater than 255 characters.
CANCEL,Cancel
CHAT_YOU,you
CHAT_MESSAGE_OTHER_AUTHORS,Message other authors here...
CHAT_TITLE,Project Chat
CHAT_UNREAD_MESSAGES,%{unreadCount} unread messages.
PRESENCE_OFFLINE,Reconnect presence session.
EDIT,Edit
CAPTION,Caption
CLICK_TO_EDIT_CONTENT,Click to edit content.
Content,Content
COPY,Copy
CLONE,Clone
LINK,Link
COPY_EMBED_CODE,Copy Embed Code
Correct,Correct
CorrectFeedback,Correct response feedback
CREATE,Add
DESCRIPTION,Description
Disable Confidence,No
discussion.1,Discussion Board
discussion.1-plural,Discussion Boards
discussionPostNotification,Discussion Board Update
discussions,Discussion Boards
DONE,Done
Duration,Duration
ENTER,Enter
Error,Error
ERROR_PAGE_TITLE,We're sorry. An error has occurred.
ERROR_PAGE_TITLE_CONTACT,"If the problem persists, please contact the system administrator."
ERROR_PAGE_TITLE_TEXT,Please navigate back home and try again.
Feedback,Feedback
file,File
FILE,File
FILES,Show/Hide Files
audio.1,Audio File
file.1,File Upload
fileBundle.1,File Bundle
fileBundle.1-plural,File Bundles
image.1,Image File
video.1,Video File
html.1,HTML Page
html.1-plural,HTML Pages
scorm.1,SCORM Activity
scorm.1-plural,SCORM Activities
js.1,JS File
css.1,CSS File
webDependency.1,Web Package
fileBundle,File Bundle
fileBundle.displayFiles,Display Files
fileBundle.displayFilesInfo,Please select the files you wish to expose directly in the learning path.
fileBundle.displayName,Display Name
fileBundle.enterDisplayName,Enter display name...
fileBundle.loading,Loading
fileBundle.path,Path
fileBundle.upload,Upload
fileBundle.uploadFolderError,A folder is required with this selection type.
fileBundle.uploadType,Upload Type:
fileBundle.uploadType.folder,Upload Folder
fileBundle.uploadType.zip,Upload Zip File
fileBundle.uploadZip,Upload Zip
fileBundle.uploadZipError,A zip file is required with this selection type.
,
,
fillInTheBlank,Fill in the Blank
Filter by assignment name,Filter by Assignment
FILTER_BY_TYPE,Filter by Type
Final Answer,Save Answer
Final Project,Final Project
final_project_milestone,Final Project Milestone
assignment.1,Assignment
assignment.1-plural,Assignments
FinalProjectGradeAlt,Your final project grade is {{score}}
FinalProjectPreview,Preview
FIND,Find
FIND_ADD,Find & Add
FIND_ADD_TEXT,Find & Add
findADDText,Find
FIND_BY_ID,Find by ID
FIND_CHILD_BUTTON,Find
FormativeAssessment,After each question
FROM,From
GALLERY_MEDIA,Gallery Media
GalleryInfo,Gallery Info
General Result Feedback,Rationale and Remediation
GeneralResourcesExplanation,Supplemental or Optional Resources
givenName,First Name
globalResources,Global Resources
,
,
Gradebook,Gradebook
gradebookTabCategories,Assignments
gradebookTabGrades,Grades
gradebookTabSettings,Settings
gradeNotification,New Assignment Grade
cblRubric,Rubric
rubric,Rubric
GRADABLE_LABEL,Include in Gradebook
GRADABLE_YES,Yes
GRADABLE_NO,No
html,HTML
HTML_EDITING_HELP_TEXT,Enter HTML below
Icon,Icon
ID,ID
IMAGE,Image
image,Image
ImageGallery,Image Gallery
IncorrectFeedback,Incorrect response feedback
Insert blank,Insert blank
Instructions,Instructions
INSTRUCTIONS,``Instructions``
Instructor,Instructor
items,Items
LAST_ACTIVE,Last active %{ago}.
LOGIN_REMEMBER,Keep me logged in
Loading,Loading
Log Out,Log Out
Logged Out,Logged Out
Login,Login
Login Required,Login Required
Login_AccountLocked,Your account has been locked because of too many failed login attempts.
Login_AccountPending,Your account has not yet been approved.
Login_AccountUnconfirmed,Your account has not yet been confirmed.
Login_Error,A login error occurred.
Login_InvalidCredentials,Either your username or password is incorrect. Please try again or click Forgot password? for help.
Login_CookiesBlocked,Your Web browser appears to be blocking cookies. Please check your settings or try a different browser.
LOGIN_REDIRECTING,Redirecting...
Logout,Log Out
LogoutErrorModal,Session Expired
LogoutErrorModalReason,You have been logged out. Click OK to log in again. Click Cancel if you need to first copy in-progress work before logging in again.

MainContentStarts,Now in the main content area
Manual Grade,Manual Grade
Many,Many
matching,Matching
MERGING,In Progress
Messaging,Send Email
MESSAGING_EMAIL_POSTFIX_COURSEINFO,in {0}
MESSAGING_EMAIL_POSTFIX_USER,Sent by {0} {1}
milestone,Milestone
milestones,Milestones
Minutes,Minutes
Misleading,Misleading
module,Module
MODULE_NO_SCORE,No Score Available
MODULE_NOT_STARTED,Not Started
MODULE_OVERALL_GRADE,Overall Module Grade
MODULE_PROGRESS,{{completedCount}} / {{totalCount}} Activities
modules,Modules
MOST_RECENTLY_VISITED,Most recently visited asset
MoveDown,Move Down
MoveUp,Move Up
MultiPageAssessment,1 question per page
multipleChoice,Multiple Choice
multipleSelect,Multi Select
multiSelect,Multi Select
N_A,Not applicable
Nailed it,Very Sure
NAME,Name
Navigate,Navigate
NAVIGATE_CONTENT,Use the left-hand side to navigate content.
NavigationHierarchy,Navigation Hierarchy
NeedsReview,Ungraded Attempt
Never,No activity
NEW,Ready
NewWindowInstructions,Click link to open in a new window.
NO_CONTENT,No content added. Use buttons above to add or create the first one.
NO_PROPERTY_AVAILABLE,Not Set
NoCredit,Does Not Count for Grade
NoFiles,No Files
NONE,None
NotificationBody_discussionPostNotification,{{time | formatMoment:l LT}}: There are new posts in {{title}}.
NotificationBody_gradeNotification,{{time | formatMoment:l LT}}: You received a new grade for {{title}}.
NotificationHeader_discussionPostNotification,New Discussion Board Posts
NotificationHeader_gradeNotification,New Assignment Grade
NotificationInformation,New activity in {{title}} on {{time | formatMoment:s}}.
NOTIFICATION_INSTRUCTIONS,Message the learner
NotRequired,Not Required
Number,Number
OFF,Off
OK,OK
ON,On
One,One
or,or
ordering,Ordering
PARENT,Parent
picker.Ok,Add Selected
course.1,Course
course.1-plural,Courses
lesson.1,Lesson
lesson.1-plural,Lessons
module.1,Module
module.1-plural,Modules
unit.1,Unit
unit.1-plural,Units
chapter.1,Chapter
chapter.1-plural,Chapters
Please describe the issue,Please describe the issue.
PointsDescription,You scored {{pointsEarned}} out of {{pointsPossible}} points.
Post Count,Posts
Posted,Posted
PostMarkedViewed,Click to show you have viewed this post.
postTest,Post-Test
PostTest,Post-Test
Powered by,Powered by
Pre Test,Show What You Know
PRE_TEST_RESULTS,View Results
PRE_TEST_RESUME,Resume
PRE_TEST_START,Show What You Know
PRE_TEST_RESTART,Retry
Preparing quiz...,Loading
preTest,Show What You Know
PreTest,Show What You Know
PretestResultsNondiscouragingMessage,"Great Job! You've just completed the Show What You Know Activity. No matter what you scored, the learning activities you will engage in will build upon the knowledge and skills you are bringing into the course. Before moving back to your learning path, you may want to take a moment to review the results for each of the questions in this Show What You Know exercise. To review your answers, select a submission timestamp listed above. Above all, keep up the good work! You can do this!"
PreTestScore,Diagnostic Score
pretTest,Show What You Know
PREVIEW,Preview
PREVIOUS,Previous
root.1,Root
root.1-plural,Roots
program,Program
program-plural,Programs
root.1Description,Root Description
ASSIGNMENT_INSTRUCTIONS,Instructions
DISCUSSION_INSTRUCTIONS,Instructions

Question,Question
question,Question
Question Text,Question Prompt
QuestionConfidenceBreakdown,Chart Breakdown
QuestionType,Asset Question
QuizResultsCorrect,{{correct}} correct out of {{total}} total question(s)
reading,Reading
,
,
Reading Material,Reading Material
readingAlt,Reading material
ReadingInstructions,Content
ReadingInstructionsLabel,Reading Material
readingMaterial,Reading Material
ReadingMaterialLabel,Reading Material Upload
recipientPicker.Roster,Directory
recipientPicker.To,Send message to:
RecoverEmailSent,A password reset message has been sent to your email address. Please check your inbox and follow the instructions provided.
RecoverPassword_AdminDisallowed,Password recovery is not permitted for administrators.
RecoverPassword_Ambiguous,Your request matched multiple accounts. Please contact your administrator for assistance.
RecoverPassword_EmailError,Error sending recovery email.
RecoverPassword_Error,Password recovery error.
RecoverPassword_NotEnabled,Password recovery is not enabled.
RecoverPassword_NotFound,Unknown username or email address.
RecoverPassword_Pending,Your account request is still pending.
REFRESH,Refresh
RELATIONSHIP,Relationship
Remove,Remove
RemoveGradebookOverride,Remove Override Grade
RemoveGradebookOverrideTitle,A gradebook override is present. To grade using the rubric click this button.
Replies,Replies
Reply,Reply
REQUIRED,Required
RESET,Reset
ResetLogin,Submit
ResetPassword_Error,Password reset error.
ResetPassword_Mismatch,The passwords must match.
ResetTokenInvalid,The Reset Password link you followed has either expired or has already been used.
resource,Resource
resource.1,Legacy Learning Activity
resource.1-plural,Learning Activities (legacy)
lti.1,LTI Activity
lti.1-plural,LTI Activities
SELECT_LTI_TOOL,LTI Tool
LTI_TOOL_URL,Tool Url
LTI_TOOL_KEY,Tool Key
LTI_TOOL_SECRET,Tool Secret
LTI_INCLUDE_USERNAME,Include Username
LTI_INCLUDE_ROLES,Include Roles
LTI_INCLUDE_ADDRESS,Include Address
LTI_INCLUDE_CONTEXT_TITLE,Include Context Title
LTI_INCLUDE_IN_GRADEBOOK,Include In Gradebook
LTI_LAUNCH_STYLE,Launch Style
LTI_LAUNCH_DEFAULT_PAGE,Use Connection Default (Embedded Frame)
LTI_LAUNCH_DEFAULT_WINDOW,Use Connection Default (New Window)
LTI_LAUNCH_IN_PAGE,Embedded Frame
LTI_LAUNCH_IN_NEW_WINDOW,New Window
AddCustomLti,Add custom parameter
AddNewCustom,Add
LTI_NEW_CUSTOM_KEY_PLACEHOLDER,Enter a key
INVALID_CUSTOM_PARAM,Invalid parameter name
LTI_RESET_CUSTOM_DEFAULT,Reset
LTI_REMOVE_CUSTOM_PARAM,Remove
,
Resource Type,Resource Type
REPLACE,Replace
Resources,Resources
RestartIloTitle,Restart?
,
rubric.1,Legacy Rubric
rubric.1-plural,Rubrics
RubricLevelIndex,Level {{index + 1}}
RubricManualGrade,Enter a score between {{min}} and {{max}}.
rubric.1,Rubric
rubric.1_DESCRIPTION,Expectations for grading that support competency-aligned criteria
RUBRIC_POINTS,Points
RUBRIC_CRITERIA,Criteria
RUBRIC_CRITERION_HELP_TEXT,"Rubric criteria are the components of an assessment against which a learner will be graded. Add more criteria as needed."
RUBRIC_CRITERIA_EMPTY,No rubric criteria have been authored yet. Click the Add button to make your first criterion.
CRITERIA_NAME,Criterion Title
CRITERIA_NAME_PLACEHOLDER,Criterion Title
CRITERIA_DESCRIPTION,Criterion Description
CRITERIA_DESCRIPTION_PLACEHOLDER,Criterion Description
CRITERIA_POINTS,Points
RUBRIC_CRITERIA_HELP_TEXT,"Criterion levels are the grading scale for a rubric criterion. Add more levels, as needed."
CRITERION_LEVELS,Criterion Levels
CRITERION_LEVEL,Level
CRITERION_LEVEL_NAME,Level Title
CRITERION_LEVEL_NAME_PLACEHOLDER,Level Title
CRITERION_LEVEL_DESCRIPTION,Level Description
CRITERION_LEVEL_DESCRIPTION_PLACEHOLDER,Level Description
CRITERION_LEVEL_POINTS,Points
ADD_CRITERION_LEVEL,Add Level
CRITERION_LEVEL_POINTS_PLACEHOLDER,Level Points
CRITERION_POINTS_TOOLTIP,Points
CRITERION_COMPETENCIES,Competency Associations
CRITERION_COMPETENCY_DUPLICATE_ERROR,A competency can only be associated with a criterion once
EXPAND_ALL_COLLAPSE_ALL,Expand/Collapse All
SafariInstructionsLTI,"- If no popup opened, you must enable popups on this browser. Go to Safari > Preferences > Security and uncheck Block pop-up windows."
sageIlo,Self Check
sageResource,Resource
SameType,The from and to type must be different.
SAVE,Save
SAVING,Saving...
SAVED,Saved
SAVE_HTML,Save
SaveResumeAttemptInfo,Attempt {{onAttempt == 0 ? 1 : onAttempt}} {{maxAttempts < 9000 ? 'of ' + maxAttempts : ''}}
SaveResumeLater,Save and Return to Learning Path
Saving progress...,Save and Exit
ScoreSummaryLabel,Score Summary
ScreenReaderBarChart,In {{xAxis}} there are {{yAxis}} items.
SEARCH,Search
SEARCH_FILTERS,Search Filters
SELECT_QUESTION_TYPE,Select Question Type
ServerProcessing,Server Processing
sessionExpiredMessage,"Due to lack of activity, your session has expired."
sessionExpiringMessage,"Are you still there? Click Stay logged in to keep working. Otherwise, you'll be logged out {{expiresIn}} to protect your security."
SESSION_TIMEOUT_MESSAGE,"Are you still there? Click Stay logged in to keep working. Otherwise, you'll be logged out soon to protect your security."
CONTINUE_SESSION,Stay logged in
Show Compact,Show Compact
Show Full,Show Full
Show Mine,Show My Answer
showAccurateGrades,Show Accurate Grades
simpleAssessment,Assessment
SinglePageAssessment,All questions on 1 page
SinglePageAssessmentLabel,Layout
String,Text
Student Preview,Learner Preview
STUDENT_ASSIGNMENT_OVERALL,Overall
STUDENT_USER_ONLY,Show My Posts
StudentAssignmentOverall,Overall Grade
StudentCount,View Learners ({{count}})
StudentHasNoSubmission,No Submission
StudentList,Learners Enrolled in Course
Students,Learners
StudyPlan,Learning Path
structure,Structure
Submit,Submit
SUBMIT,Submit
Submit Submission,Submit
Submitting...,Submitting
subtitle,Subtitle
SUCCEEDED,Success
SummativeAssessment,After assessment completion
SyncLibrary,Sync Library
TakePostTest,Show What You Know
TakePreTest,Show What You Know
task.subTask.error,Errors
task.subTask.info,Info
task.subTask.warning,Warnings
Teaches,Teaches
teaches,Teaches
Technical Accuracy,Technical Accuracy
Textbook,Textbook
textbook,Textbook
textbook-plural,Textbooks
Threads,Threads
TimeExplanation,It should take {{time}} to complete this item
title,Title
TITLE,Title
TITLE_OF_COPY,Title of Copy
TO,To
TooManyFailedLogins,You have entered the incorrect login information too many times. Please try again later.
TOP_LEVEL_TYPE,Top Level Type
TRUE,Yes
trueFalse,True/False
TYPE,Type
typeahead.loading,Loading Names...
TYPES,Types
undefined,undefined
uniform,Uniform Distribution
Unread Only,Hide read posts.
UnreadNotifications,Unread Notifications
Updated,Updated
UPLOAD,Upload
UPLOAD_HTML,Upload HTML
UPLOAD_HTML_TO_START,HTML Viewer
UPLOAD_ZIP,Upload Zip
UploadSuccessful,Upload Successful
Usages,Usages
Use Confidence,Yes
User Only,Current User Only
UserListInstructionsSR,"The list of users first name, last name if they have pending attempts and then a grade if present."
LOGIN_FORM_USERNAME,Username
Users,Users
UsersCompleted,Submitted
UsersNotStarted,No Submission
UserStudyPlan,{{username}}'s Learning Path
video,Video
videoAlt,This is a video to watch.
,
,
VideoEmbedLabel,Video Embed Link
VideoUploadLabel,Video File Upload
videoEmbedInputLabel,Video URL
audioEmbedInputLabel,Audio URL
,
View All Course Assignments,View All Course Assignments
View Topics,Show Learning Outcomes
ViewAllNotifications,View All Notifications
ViewAssignmentList,My Grades
ViewPreTest,Show What You Know
visitation,Visitation
Weight,Weight
WRITE_ALT_TEXT,Write alternative text.
WRITE_CAPTION_HERE,Write a caption.
WRITE_GALLERY_DESCRIPTION,Write a description.
WRITE_GALLERY_TITLE,Write a title.
WRITE_IMAGE_TITLE,Write an image title.
,
LOADING_SPINNER_TEXT,Loading...
,
ASSET_ITEM_COMPLETED,Done
ASSET_TIME_EXPLANATION,It should take {{ durationHR }} to complete this item.
ASSET_TIME_DURATION,{{ durationHR }}
ASSET_OVERDUE,Overdue
ASSET_NEARDUE,Nearly due
PROGRESS_TOTAL,Contains {{total}} Activities
ASSET_PROGRESS,{{completions}} / {{total}} Activities
ASSET_PROGRESS_NOT_STARTED,Not Started
ASSET_VIEW_CARD,View as cards.
ASSET_VIEW_PREVIEW,View as a list.
ASSET_GO_UP,Return to Learning Path
COURSE_CONTENT_AREA_TITLE,Learning Path
COURSE_ASSIGNMENT_LIST,Assignments
COURSE_HOME,Learning Path
COURSE_DISCUSSION_BOARDS,Discussions
,
,
MODULE_GRADE_OVERALL,Overall Module Grade
MODULE_GRADE_NO_SCORE,No Score Available
USER_STUDY_PLAN_MESSAGE,{{username}}'s Learning Path
PLAYLIST_RETAKE,Retake Self Check
PLAYLIST_CHART_MESSAGE,{{correct}} correct out of {{total}} total question(s)
PLAYLIST_FAILED_MESSAGE,
PLAYLIST_GRADABLE_CONCLUSION,Results
RESOURCE_TYPE,Resource Type
RESOURCE_DIRECT_LINK,Open in a New Tab
RESOURCE_NEW_WINDOW,Click link to open in a new window.
RESOURCE_SAFARI_INSTRUCTIONS,"- If no popup opened, you must enable popups on this browser. Go to Safari > Preferences > Security and uncheck Block pop-up windows."
,
,
NOTIFICATIONS_HEADING,Notifications
NOTIFICATIONS_DISMISS_EXPLANATION,Click to dismiss event.
NOTIFICATIONS_DISMISS_BUTTON,Dismiss Notification
NOTIFICATIONS_GOTO_PAGE,View All Notifications
NOTIFICATIONS_HEADER,All Notifications
NOTIFICATIONS_HEADER_discussionPostNotification,New Discussion Board Post
NOTIFICATIONS_BODY_discussionPostNotification,"{{time | formatMoment:""l LT""}}: There is a new post in ""{{title}}""."
NOTIFICATIONS_BODY_EXTERN_discussionPostNotification,There is a new post for {discussion.name} in course {course.name}.
NOTIFICATIONS_EMAIL_SUBJECT_discussionPostNotification,"{course.name} - New Post in ""{discussion.name}"""
NOTIFICATIONS_EMAIL_BODY_discussionPostNotification_html,"{post.user.fullName} made a new post in ""{discussion.name}"":"
NOTIFICATIONS_EMAIL_BODY_ANONYMOUS_discussionPostNotification_html,"There is a new post in ""{discussion.name}""."
NOTIFICATIONS_EMAIL_OUTRO_CAN_REPLY_discussionPostNotification_html,"Please log in to view this on your notifications page. If you no longer wish to receive email notifications, please log in and change your notification settings. You can reply to the discussion post by replying to this message."
ALERTS_HEADER_discussionPostNotification,Discussion Board Update
ALERTS_BODY_discussionPostNotification,"{{count}} update(s) in ""{{notification.name}}"", newest on {{notification.time | formatMoment:s}}."
NOTIFICATIONS_HEADER_gradeNotification,New Assignment Grade
NOTIFICATIONS_BODY_gradeNotification,"{{time | formatMoment:""l LT""}}: You received a new grade for {{name}}."
NOTIFICATIONS_BODY_EXTERN_gradeNotification,You received a new grade for {notification.title}.
NOTIFICATIONS_EMAIL_SUBJECT_gradeNotification,{course.name} - New Assignment Grade
NOTIFICATIONS_EMAIL_BODY_gradeNotification_html,You received a new grade for {notification.title}.
ALERTS_HEADER_gradeNotification,New Assignment Grade
ALERTS_BODY_gradeNotification,{{notification.name}} was graded on {{notification.time | formatMoment:s}}.
NOTIFICATIONS_HEADER_instructorCreatedNotification,New Instructor Message
NOTIFICATIONS_BODY_instructorCreatedNotification,{{message}}
NOTIFICATIONS_BODY_EXTERN_instructorCreatedNotification,{course.name} - Instructor message - {notification.message}
NOTIFICATIONS_EMAIL_SUBJECT_instructorCreatedNotification,{course.name} - New Instructor Message
NOTIFICATIONS_EMAIL_BODY_instructorCreatedNotification_html,<blockquote>{notification.message}</blockquote>
ALERTS_HEADER_instructorCreatedNotification,Instructor Message
ALERTS_BODY_instructorCreatedNotification,{{notification.message}}
NOTIFICATIONS_HEADER_contentAvailabilityNotification,Content Now Available
NOTIFICATIONS_BODY_contentAvailabilityNotification,{{ name }} is now available. Get started now!
NOTIFICATIONS_BODY_EXTERN_contentAvailabilityNotification,{notification.title} in {course.name} is now available.
NOTIFICATIONS_EMAIL_SUBJECT_contentAvailabilityNotification,{course.name} - Content Now Available
NOTIFICATIONS_EMAIL_BODY_contentAvailabilityNotification_html,{notification.title} is now available.
ALERTS_HEADER_contentAvailabilityNotification,Content Now Available
ALERTS_BODY_contentAvailabilityNotification,{{ notification.name }} is now available. Get started now!
NOTIFICATIONS_HEADER_competencyMasteryNotification,Competency Mastered
NOTIFICATIONS_BODY_competencyMasteryNotification,Congratulations! You have mastered {{competency.data.title}}
NOTIFICATIONS_BODY_EXTERN_competencyMasteryNotification,Congratulations! You have mastered {notification.competency.data.title}
NOTIFICATIONS_EMAIL_SUBJECT_competencyMasteryNotification,{domain.name} - Competency Mastered
NOTIFICATIONS_EMAIL_BODY_competencyMasteryNotification_html,Congratulations! You have mastered {notification.competency.data.title}
ALERTS_HEADER_competencyMasteryNotification,Competency Mastered
ALERTS_BODY_competencyMasteryNotification,You have mastered {{count}} new competencies!
NOTIFICATIONS_HEADER_learnerTransferNotification,Section Transfer
NOTIFICATIONS_BODY_learnerTransferNotification,You were transferred to a new section.
NOTIFICATIONS_EMAIL_BODY_learnerTransferNotification_html,You were transferred to a new section.
NOTIFICATIONS_EMAIL_SUBJECT_learnerTransferNotification_html,Section Transfer
ALERTS_HEADER_learnerTransferNotification,Section Transfer
ALERTS_BODY_learnerTransferNotification,You were transferred to a new section.
NOTIFICATIONS_HEADER_attemptDeletedNotification,Attempt Deleted
NOTIFICATIONS_BODY_attemptDeletedNotification,"{{time | formatMoment:""l LT""}}: Your instructor deleted a submitted attempt on {{name}}."
NOTIFICATIONS_BODY_EXTERN_attemptDeletedNotification,{course.name} - Attempt Deleted - {notification.title} - {notification.attemptId}
NOTIFICATIONS_EMAIL_SUBJECT_attemptDeletedNotification,{course.name} - Attempt Deleted
NOTIFICATIONS_EMAIL_BODY_attemptDeletedNotification_html,Your instructor deleted a submitted attempt on {notification.title}.
ALERTS_HEADER_attemptDeletedNotification,Attempt Deleted
ALERTS_BODY_attemptDeletedNotification,{{time | formatMoment:s}}: Attempt on {{notification.name}}.
NOTIFICATIONS_HEADER_attemptRestoredNotification,Attempt Restored
NOTIFICATIONS_BODY_attemptRestoredNotification,"{{time | formatMoment:""l LT""}}: Your instructor restored a submitted attempt on {{name}}."
NOTIFICATIONS_BODY_EXTERN_attemptRestoredNotification,{course.name} - Attempt Restored - {notification.title} - {notification.attemptId}
NOTIFICATIONS_EMAIL_SUBJECT_attemptRestoredNotification,{course.name} - Attempt Restored
NOTIFICATIONS_EMAIL_BODY_attemptRestoredNotification_html,Your instructor restored a submitted attempt on {notification.title}.
ALERTS_HEADER_attemptRestoredNotification,Attempt Restored
ALERTS_BODY_attemptRestoredNotification,{{time | formatMoment:s}}: Attempt on {{notification.name}}.
,
NOTIFICATIONS_EMAIL_INTRO_html,"Hi {user.givenName}, you have received a new notification:"
NOTIFICATIONS_EMAIL_INTRO_IN_COURSE_html,"Hi {user.givenName}, you have received a new notification in {course.name}:"
NOTIFICATIONS_EMAIL_OUTRO_html,"Please log in to view this on your notifications page. If you no longer wish to receive email notifications, please log in and change your notification settings."
NOTIFICATIONS_EMAIL_NOREPLY,Replies to this email are not supported.
NOTIFICATIONS_EMAIL_INVALID_DISCUSSION_REPLY,Your discussion board reply was not successful.
,
EMAIL_FOOTER_FROM_USER_html,"Sent by {sender.fullName} from <a href=""https://{domain.hostName}/"">{domain.name}</a>."
EMAIL_FOOTER_FROM_USER_IN_COURSE_html,"Sent by {sender.fullName} from {course.name} ({course.courseId}) in <a href=""https://{domain.hostName}/"">{domain.name}</a>."
EMAIL_FOOTER_html,"Sent from <a href=""https://{domain.hostName}/"">{domain.name}</a>."
EMAIL_FOOTER_FROM_COURSE_html,"Sent from {course.name} ({course.courseId}) in <a href=""https://{domain.hostName}/"">{domain.name}</a>."
,
UPLOAD_SERVER_PROCESSING,Server Processing
INCLUDE_ARCHIVED_ASSETS,Include Archived
INCLUDE_UNUSED_ASSETS,Include Unused
CONTENT_SEARCH_NO_RESULTS,No results.
CONTENT_SEARCH_NO_RESULTS_FOR_QUERY,No results for '%{query}'.
CONTENT_SEARCH_RESULTS_ERROR,A search error occurred.
CONTENT_SEARCH_DOWNLOAD_CSV,Download CSV
DOWNLOAD_EXTERNAL_LINKS,External Link Report
CHECK_EXTERNAL_LINKS,Run External Link Check
CHECK_EXTERNAL_LINKS_TITLE,External Link Check
CHECK_EXTERNAL_LINKS_BODY_START,"Run external link check. A report will be available upon completion."
CHECK_EXTERNAL_LINKS_BODY_GENERATING,"Running external link check. A report will be available upon completion. Please stay on this page, this process may take several minutes."
CHECK_EXTERNAL_LINKS_BODY_DOWNLOAD,"Report completed successfully."
CHECK_EXTERNAL_LINKS_BODY_FAILED,"An error has occurred during generation."
CHECK_EXTERNAL_LINKS_CANCEL,Cancel
CHECK_EXTERNAL_LINKS_START,Start
CHECK_EXTERNAL_LINKS_FAILED,Failed
CHECK_EXTERNAL_LINKS_DOWNLOAD,Download
CHECK_EXTERNAL_LINKS_GENERATING,Generating
DOWNLOAD_IP_REPORT,IP Report

REPOSITORY_DOWNLOAD_MENU,Download Reports

HTML_SEARCH_TEXT_PLACEHOLDER,Exact search text.
ASSET_ARCHIVED,Archived
ASSET_IS_ARCHIVED,Archived assets will not appear in navigation and will not appear in search results by default.
ASSET_ARCHIVE_HELP_TEXT,
SEARCH_TEXT,Text Search
SEARCH_ASSET_TYPES,Types
SEARCH_IN_TOP_LEVEL,Only search within this {{type}} ({{title}}).
SEARCH_BY_ID,Find by ID
SEARCH_APPLIED_FILTERS,Applied Filters
SEARCH_TEXT_FILTER,Text
SEARCH_ASSET_TYPES_FILTER,Types
SEARCH_RESULTS_LOADING,Loading
SEARCH_RESULTS_TOTAL,%{smart_count} Result||||%{smart_count} Results
SEARCH_RESULTS_SHOWING,Showing: %{nowShowing}
SEARCH_RESULTS_STATS,{{ total }} Results
SEARCH_RESULTS_PAGE_LIMIT,Show
SEARCH_RESULTS_NONE,"Sorry, no results were found for your search"
SEARCH_TEXT_PLACEHOLDER,"Search title, subtitle, keywords, id"
ELASTIC_SEARCH_TEXT_PLACEHOLDER,"Search all fields and content"
SEARCH_ID_PLACEHOLDER,ID
SEARCH_ORDER_BY,Order by
SEARCH_ORDER_LAST_UPDATED,Date
